,instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
22,13785,2012-08-02,3,1,8,13,0,4,1,1,0.86,0.7879,0.44,0.2239,98,212,310
23,10489,2012-03-18,1,1,3,3,0,0,0,2,0.44,0.4394,0.88,0.1343,3,15,18
24,5325,2011-08-14,3,0,8,18,0,0,0,1,0.74,0.697,0.66,0.1642,125,222,347
25,17229,2012-12-25,1,1,12,17,1,2,0,2,0.32,0.303,0.57,0.2537,16,34,50
26,9500,2012-02-05,1,1,2,17,0,0,0,1,0.32,0.3182,0.53,0.1642,31,275,306
27,5936,2011-09-09,3,0,9,20,0,5,1,1,0.64,0.5606,0.94,0.0896,30,180,210
28,3707,2011-06-08,2,0,6,8,0,3,1,1,0.76,0.7121,0.58,0.1642,46,435,481
29,7586,2011-11-17,4,0,11,16,0,4,1,1,0.32,0.2879,0.39,0.4179,8,187,195
30,14651,2012-09-07,3,1,9,15,0,5,1,1,0.8,0.7576,0.55,0.2537,66,265,331
31,13015,2012-07-01,3,1,7,11,0,0,0,1,0.88,0.803,0.39,0.2239,121,256,377
32,1742,2011-03-18,1,0,3,6,0,5,1,1,0.4,0.4091,0.66,0.194,1,35,36
33,1094,2011-02-18,1,0,2,7,0,5,1,2,0.42,0.4242,0.77,0.2239,8,108,116
34,10713,2012-03-27,2,1,3,11,0,2,1,1,0.3,0.303,0.31,0.1642,34,141,175
35,11484,2012-04-28,2,1,4,16,0,6,0,2,0.44,0.4394,0.38,0.194,132,244,376
36,10864,2012-04-02,2,1,4,19,0,1,1,1,0.5,0.4848,0.27,0.2537,66,428,494
37,7619,2011-11-19,4,0,11,1,0,6,0,1,0.26,0.2273,0.52,0.2985,1,34,35
38,4950,2011-07-30,3,0,7,3,0,6,0,1,0.74,0.6818,0.62,0.1642,18,25,43
39,4229,2011-06-30,3,0,6,2,0,4,1,1,0.62,0.6212,0.57,0.1343,2,6,8
40,2286,2011-04-10,2,0,4,2,0,0,0,2,0.38,0.3939,0.87,0.0896,12,24,36
41,8144,2011-12-10,4,0,12,23,0,6,0,1,0.2,0.2121,0.47,0.1642,5,61,66
42,6877,2011-10-19,4,0,10,2,0,3,1,2,0.52,0.5,0.77,0.194,1,6,7
43,9724,2012-02-15,1,1,2,2,0,3,1,1,0.3,0.3333,0.61,0.0,0,4,4
44,12080,2012-05-23,2,1,5,12,0,3,1,2,0.66,0.6212,0.69,0.0896,42,206,248
45,14685,2012-09-09,3,1,9,1,0,0,0,1,0.56,0.5303,0.73,0.2239,20,104,124
46,10347,2012-03-12,1,1,3,5,0,1,1,1,0.34,0.3333,0.61,0.194,1,15,16
47,15337,2012-10-06,4,1,10,5,0,6,0,1,0.54,0.5152,0.83,0.194,2,8,10
48,630,2011-01-29,1,0,1,12,0,6,0,2,0.2,0.197,0.59,0.194,12,66,78
49,11964,2012-05-18,2,1,5,16,0,5,1,1,0.66,0.6212,0.34,0.2537,151,417,568
50,13759,2012-08-01,3,1,8,11,0,3,1,1,0.76,0.7121,0.58,0.0896,54,180,234
51,7026,2011-10-25,4,0,10,8,0,2,1,1,0.44,0.4394,0.72,0.0,25,383,408
52,15994,2012-11-04,4,1,11,2,0,0,0,1,0.3,0.3333,0.65,0.0,6,31,37
53,4188,2011-06-28,3,0,6,9,0,2,1,1,0.74,0.697,0.7,0.0,38,208,246
54,16166,2012-11-11,4,1,11,7,0,0,0,1,0.3,0.3182,0.89,0.0896,12,56,68
55,2676,2011-04-26,2,0,4,9,0,2,1,1,0.64,0.6061,0.73,0.3582,35,164,199
56,17147,2012-12-22,1,1,12,5,0,6,0,1,0.26,0.2273,0.48,0.4179,0,5,5
57,13102,2012-07-05,3,1,7,2,0,4,1,1,0.74,0.6667,0.51,0.0,4,14,18
58,2883,2011-05-05,2,0,5,0,0,4,1,1,0.36,0.3485,0.66,0.194,4,23,27
59,8940,2012-01-13,1,1,1,8,0,5,1,1,0.24,0.2121,0.52,0.3582,11,408,419
60,9252,2012-01-26,1,1,1,9,0,4,1,2,0.3,0.3333,0.81,0.0,18,256,274
61,2533,2011-04-20,2,0,4,10,0,3,1,1,0.62,0.6061,0.69,0.0896,45,86,131
62,155,2011-01-07,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0.0,9,178,187
63,10284,2012-03-09,1,1,3,13,0,5,1,2,0.38,0.3939,0.29,0.3881,49,175,224
64,12386,2012-06-05,2,1,6,6,0,2,1,1,0.48,0.4697,0.82,0.2537,7,177,184
65,15669,2012-10-20,4,1,10,1,0,6,0,1,0.46,0.4545,0.72,0.1343,2,93,95
66,7707,2011-11-22,4,0,11,17,0,2,1,3,0.44,0.4394,1.0,0.0896,4,161,165
67,6847,2011-10-17,4,0,10,20,0,1,1,1,0.52,0.5,0.77,0.1045,40,189,229
68,422,2011-01-19,1,0,1,14,0,3,1,1,0.4,0.4091,0.58,0.2537,7,68,75
69,7038,2011-10-25,4,0,10,20,0,2,1,1,0.46,0.4545,0.67,0.1045,40,208,248
70,12231,2012-05-29,2,1,5,19,0,2,1,1,0.78,0.7121,0.52,0.3582,69,457,526
71,1317,2011-02-28,1,0,2,1,0,1,1,3,0.34,0.303,0.87,0.3582,1,7,8
72,8687,2012-01-02,1,1,1,18,1,1,0,1,0.26,0.2424,0.33,0.2537,13,113,126
73,4773,2011-07-22,3,0,7,18,0,5,1,1,0.9,0.8182,0.37,0.1642,34,250,284
74,14982,2012-09-21,3,1,9,10,0,5,1,1,0.62,0.6061,0.61,0.2239,44,181,225
75,3189,2011-05-17,2,0,5,18,0,2,1,1,0.6,0.5909,0.69,0.2985,54,426,480
76,16470,2012-11-23,4,1,11,23,0,5,1,1,0.42,0.4242,0.38,0.4478,20,47,67
77,11217,2012-04-17,2,1,4,13,0,2,1,1,0.62,0.6212,0.29,0.2537,52,187,239
78,15508,2012-10-13,4,1,10,8,0,6,0,1,0.34,0.3485,0.53,0.1045,23,151,174
79,381,2011-01-17,1,0,1,8,1,1,0,2,0.16,0.1515,0.47,0.2239,3,30,33
80,14571,2012-09-04,3,1,9,7,0,2,1,2,0.68,0.6364,0.89,0.1045,13,480,493
81,10757,2012-03-29,2,1,3,7,0,4,1,1,0.46,0.4545,0.51,0.3582,14,353,367
82,8313,2011-12-18,4,0,12,0,0,0,0,1,0.2,0.2121,0.75,0.1343,7,64,71
83,11087,2012-04-12,2,1,4,3,0,4,1,1,0.32,0.303,0.61,0.2537,2,3,5
84,3750,2011-06-10,2,0,6,3,0,5,1,1,0.68,0.6364,0.69,0.1642,3,3,6
85,9924,2012-02-23,1,1,2,12,0,4,1,1,0.5,0.4848,0.42,0.2537,25,199,224
86,6941,2011-10-21,4,0,10,19,0,5,1,2,0.44,0.4394,0.54,0.3881,25,228,253
87,14442,2012-08-29,3,1,8,22,0,3,1,1,0.66,0.6212,0.54,0.0,50,185,235
88,6587,2011-10-07,4,0,10,0,0,5,1,1,0.44,0.4394,0.88,0.0,19,48,67
89,7200,2011-11-01,4,0,11,14,0,2,1,1,0.5,0.4848,0.48,0.2537,32,118,150
90,2192,2011-04-06,2,0,4,4,0,3,1,1,0.24,0.2424,0.65,0.1343,0,1,1
91,4994,2011-07-31,3,0,7,23,0,0,0,1,0.74,0.697,0.66,0.2239,14,56,70
92,648,2011-01-30,1,0,1,7,0,0,0,1,0.14,0.2121,0.86,0.0,0,3,3
93,13947,2012-08-09,3,1,8,7,0,4,1,2,0.7,0.6667,0.84,0.1642,24,451,475
94,18,2011-01-01,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67
95,17106,2012-12-20,4,1,12,12,0,4,1,2,0.36,0.3485,0.53,0.1642,31,181,212
96,5106,2011-08-05,3,0,8,15,0,5,1,1,0.76,0.697,0.55,0.2537,50,160,210
97,12875,2012-06-25,3,1,6,15,0,1,1,1,0.78,0.6818,0.38,0.4627,65,168,233
98,11077,2012-04-11,2,1,4,17,0,3,1,1,0.42,0.4242,0.35,0.3881,52,527,579
99,1486,2011-03-07,1,0,3,6,0,1,1,1,0.2,0.1818,0.75,0.3881,3,31,34
100,17067,2012-12-18,4,1,12,21,0,2,1,1,0.36,0.3485,0.5,0.2239,9,159,168
101,10566,2012-03-21,2,1,3,8,0,3,1,3,0.48,0.4697,0.94,0.1045,33,502,535
102,6658,2011-10-09,4,0,10,23,0,0,0,1,0.5,0.4848,0.88,0.1045,38,85,123
103,4423,2011-07-08,3,0,7,4,0,5,1,1,0.7,0.6667,0.79,0.2537,7,4,11
104,3061,2011-05-12,2,0,5,10,0,4,1,2,0.54,0.5152,0.68,0.2239,28,119,147
105,1966,2011-03-27,2,0,3,17,0,0,0,1,0.32,0.303,0.31,0.2537,50,109,159
106,13402,2012-07-17,3,1,7,14,0,2,1,1,0.94,0.8333,0.29,0.2537,54,160,214
107,1960,2011-03-27,2,0,3,11,0,0,0,2,0.24,0.2424,0.48,0.1642,23,85,108
108,2654,2011-04-25,2,0,4,11,0,1,1,1,0.64,0.6061,0.73,0.2239,53,94,147
109,15883,2012-10-28,4,1,10,23,0,0,0,3,0.42,0.4242,0.94,0.3582,2,12,14
110,1198,2011-02-22,1,0,2,22,0,2,1,1,0.16,0.1515,0.43,0.2537,1,76,77
111,9606,2012-02-10,1,1,2,4,0,5,1,1,0.26,0.2879,0.56,0.0896,0,2,2
112,9366,2012-01-31,1,1,1,3,0,2,1,1,0.3,0.2879,0.45,0.2239,0,2,2
113,269,2011-01-12,1,0,1,15,0,3,1,1,0.2,0.1667,0.47,0.4179,1,48,49
114,13825,2012-08-04,3,1,8,5,0,6,0,1,0.7,0.6667,0.84,0.2239,1,16,17
115,9823,2012-02-19,1,1,2,5,0,0,0,2,0.26,0.2273,0.48,0.2985,1,1,2
116,10855,2012-04-02,2,1,4,10,0,1,1,1,0.4,0.4091,0.5,0.5224,85,119,204
117,6133,2011-09-18,3,0,9,2,0,0,0,1,0.44,0.4394,0.82,0.2537,21,68,89
118,4022,2011-06-21,3,0,6,11,0,2,1,1,0.66,0.6061,0.83,0.1642,52,119,171
119,1738,2011-03-18,1,0,3,1,0,5,1,1,0.4,0.4091,0.62,0.2537,4,12,16
120,6216,2011-09-21,3,0,9,13,0,3,1,2,0.66,0.6212,0.74,0.1642,37,144,181
121,12851,2012-06-24,3,1,6,15,0,0,0,1,0.86,0.7424,0.28,0.2239,197,290,487
122,669,2011-01-31,1,0,1,4,0,1,1,1,0.2,0.197,0.59,0.2239,0,2,2
123,3589,2011-06-03,2,0,6,10,0,5,1,1,0.62,0.6212,0.33,0.2537,54,107,161
124,10231,2012-03-07,1,1,3,8,0,3,1,1,0.28,0.2576,0.61,0.2985,12,554,566
125,16437,2012-11-22,4,1,11,14,1,4,0,1,0.48,0.4697,0.29,0.0,125,95,220
126,8991,2012-01-15,1,1,1,11,0,0,0,1,0.16,0.1515,0.47,0.2239,21,144,165
127,845,2011-02-07,1,0,2,15,0,1,1,2,0.38,0.3939,0.54,0.0896,4,46,50
128,11438,2012-04-26,2,1,4,18,0,4,1,2,0.54,0.5152,0.77,0.194,75,589,664
129,14912,2012-09-18,3,1,9,12,0,2,1,3,0.68,0.6364,0.83,0.4478,16,72,88
130,12304,2012-06-01,2,1,6,20,0,5,1,3,0.62,0.5455,0.94,0.2537,1,38,39
131,2364,2011-04-13,2,0,4,9,0,3,1,2,0.38,0.3939,0.94,0.2239,2,63,65
132,792,2011-02-05,1,0,2,10,0,6,0,3,0.2,0.2121,1.0,0.1343,3,31,34
133,17168,2012-12-23,1,1,12,2,0,0,0,1,0.2,0.2121,0.51,0.1642,1,17,18
134,12334,2012-06-03,2,1,6,2,0,0,0,1,0.52,0.5,0.59,0.1045,22,67,89
135,2797,2011-05-01,2,0,5,10,0,0,0,2,0.48,0.4697,0.63,0.194,109,155,264
136,12281,2012-05-31,2,1,5,21,0,4,1,1,0.68,0.6364,0.44,0.1642,41,318,359
137,9846,2012-02-20,1,1,2,5,1,1,0,2,0.24,0.2121,0.6,0.3582,0,6,6
138,11264,2012-04-19,2,1,4,12,0,4,1,1,0.54,0.5152,0.49,0.0,51,213,264
139,85,2011-01-04,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83
140,1752,2011-03-18,1,0,3,16,0,5,1,1,0.68,0.6364,0.39,0.2836,67,137,204
141,5022,2011-08-02,3,0,8,3,0,2,1,1,0.66,0.6212,0.74,0.194,0,5,5
142,15755,2012-10-23,4,1,10,15,0,2,1,1,0.68,0.6364,0.41,0.2239,76,270,346
143,8283,2011-12-16,4,0,12,18,0,5,1,2,0.32,0.303,0.45,0.2537,10,285,295
144,1989,2011-03-28,2,0,3,17,0,1,1,1,0.34,0.303,0.23,0.2985,25,227,252
145,1579,2011-03-11,1,0,3,6,0,5,1,1,0.26,0.2424,0.81,0.2836,1,31,32
146,3820,2011-06-13,2,0,6,1,0,1,1,1,0.64,0.6061,0.73,0.2239,6,10,16
147,8261,2011-12-15,4,0,12,20,0,4,1,1,0.52,0.5,0.59,0.3284,12,209,221
148,3876,2011-06-15,2,0,6,9,0,3,1,1,0.6,0.6212,0.49,0.0,22,185,207
149,6022,2011-09-13,3,0,9,11,0,2,1,1,0.7,0.6515,0.61,0.1642,33,120,153
150,9062,2012-01-18,1,1,1,11,0,3,1,1,0.3,0.2727,0.42,0.3881,4,110,114
151,9977,2012-02-25,1,1,2,17,0,6,0,1,0.3,0.2727,0.33,0.3582,16,143,159
152,15647,2012-10-19,4,1,10,3,0,5,1,2,0.56,0.5303,0.83,0.0,0,5,5
153,12930,2012-06-27,3,1,6,22,0,3,1,1,0.72,0.6515,0.39,0.0896,52,245,297
154,11633,2012-05-04,2,1,5,21,0,5,1,1,0.64,0.6061,0.69,0.194,49,186,235
155,16792,2012-12-07,4,1,12,10,0,5,1,2,0.32,0.3182,0.76,0.1642,16,150,166
156,13567,2012-07-24,3,1,7,11,0,2,1,2,0.84,0.803,0.53,0.3284,45,156,201
157,10491,2012-03-18,1,1,3,5,0,0,0,2,0.4,0.4091,0.94,0.1045,0,6,6
158,6866,2011-10-18,4,0,10,15,0,2,1,1,0.62,0.6212,0.5,0.194,66,139,205
159,11330,2012-04-22,2,1,4,6,0,0,0,2,0.44,0.4394,0.72,0.3284,6,6,12
160,11713,2012-05-08,2,1,5,5,0,2,1,2,0.52,0.5,0.72,0.2836,0,20,20
161,9306,2012-01-28,1,1,1,15,0,6,0,1,0.4,0.4091,0.47,0.3284,90,320,410
162,16768,2012-12-06,4,1,12,10,0,4,1,1,0.24,0.2273,0.52,0.194,23,122,145
163,13077,2012-07-04,3,1,7,1,1,3,0,1,0.68,0.6364,0.74,0.0,27,96,123
164,12302,2012-06-01,2,1,6,18,0,5,1,3,0.62,0.5606,0.88,0.3582,10,100,110
165,16171,2012-11-11,4,1,11,12,0,0,0,1,0.5,0.4848,0.48,0.0896,195,390,585
166,1395,2011-03-03,1,0,3,9,0,4,1,1,0.16,0.1364,0.37,0.2836,10,135,145
167,12199,2012-05-28,2,1,5,11,1,1,0,1,0.72,0.6818,0.66,0.1343,254,222,476
168,3173,2011-05-17,2,0,5,2,0,2,1,3,0.56,0.5303,0.88,0.0,4,4,8
169,12288,2012-06-01,2,1,6,4,0,5,1,2,0.62,0.5909,0.73,0.0896,1,5,6
170,16242,2012-11-14,4,1,11,11,0,3,1,1,0.32,0.303,0.49,0.2537,25,126,151
171,945,2011-02-11,1,0,2,23,0,5,1,1,0.18,0.2424,0.69,0.0,5,48,53
172,1673,2011-03-15,1,0,3,7,0,2,1,1,0.24,0.2424,0.75,0.1642,10,109,119
173,15370,2012-10-07,4,1,10,14,0,0,0,2,0.44,0.4394,0.67,0.0,71,243,314
174,9594,2012-02-09,1,1,2,16,0,4,1,1,0.34,0.3333,0.36,0.0,15,223,238
175,10639,2012-03-24,2,1,3,9,0,6,0,2,0.52,0.5,0.83,0.1343,96,153,249
176,9163,2012-01-22,1,1,1,16,0,0,0,2,0.16,0.1515,0.8,0.194,12,143,155
177,4634,2011-07-16,3,0,7,23,0,6,0,1,0.68,0.6364,0.61,0.2239,61,107,168
178,11558,2012-05-01,2,1,5,18,0,2,1,1,0.7,0.6515,0.54,0.1343,81,662,743
179,13545,2012-07-23,3,1,7,13,0,1,1,2,0.8,0.7424,0.52,0.1045,64,176,240
180,13378,2012-07-16,3,1,7,14,0,1,1,1,0.88,0.8182,0.42,0.1045,53,159,212
181,12981,2012-06-30,3,1,6,1,0,6,0,3,0.64,0.5758,0.89,0.2239,3,55,58
182,10047,2012-02-28,1,1,2,15,0,2,1,1,0.42,0.4242,0.26,0.0896,17,149,166
183,6688,2011-10-11,4,0,10,5,0,2,1,2,0.52,0.5,0.88,0.0,0,20,20
184,10966,2012-04-07,2,1,4,1,0,6,0,1,0.4,0.4091,0.28,0.2537,9,60,69
185,4659,2011-07-18,3,0,7,0,0,1,1,1,0.7,0.6667,0.74,0.1343,21,30,51
186,11017,2012-04-09,2,1,4,4,0,1,1,1,0.44,0.4394,0.24,0.194,2,3,5
187,2673,2011-04-26,2,0,4,6,0,2,1,1,0.56,0.5303,0.88,0.2239,0,80,80
188,4863,2011-07-26,3,0,7,12,0,2,1,1,0.84,0.7273,0.28,0.0,25,122,147
189,16527,2012-11-26,4,1,11,8,0,1,1,1,0.24,0.2879,0.65,0.0,9,629,638
190,16144,2012-11-10,4,1,11,9,0,6,0,1,0.36,0.3485,0.66,0.194,43,216,259
191,16027,2012-11-05,4,1,11,11,0,1,1,1,0.34,0.3182,0.46,0.2239,31,119,150
192,13356,2012-07-15,3,1,7,16,0,0,0,1,0.86,0.7879,0.41,0.2239,152,343,495
193,7333,2011-11-07,4,0,11,3,0,1,1,1,0.32,0.3485,0.93,0.0,0,3,3
194,5154,2011-08-07,3,0,8,15,0,0,0,3,0.72,0.697,0.74,0.2985,118,208,326
195,6633,2011-10-08,4,0,10,22,0,6,0,1,0.5,0.4848,0.77,0.0,45,104,149
196,16954,2012-12-14,4,1,12,4,0,5,1,1,0.2,0.2273,0.75,0.0896,1,9,10
197,14723,2012-09-10,3,1,9,15,0,1,1,1,0.66,0.6212,0.31,0.3881,115,231,346
198,1780,2011-03-19,1,0,3,20,0,6,0,1,0.42,0.4242,0.35,0.2239,39,69,108
199,168,2011-01-08,1,0,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,0,2,2
200,3839,2011-06-13,2,0,6,20,0,1,1,1,0.64,0.6212,0.44,0.2537,78,253,331
201,17248,2012-12-26,1,1,12,12,0,3,1,3,0.22,0.197,0.87,0.3284,0,10,10
202,10144,2012-03-03,1,1,3,17,0,6,0,1,0.5,0.4848,0.23,0.3284,106,279,385
203,10872,2012-04-03,2,1,4,3,0,2,1,1,0.38,0.3939,0.46,0.0,0,3,3
204,12432,2012-06-07,2,1,6,4,0,4,1,1,0.46,0.4545,0.88,0.1045,0,6,6
205,9942,2012-02-24,1,1,2,6,0,5,1,2,0.4,0.4091,0.87,0.1642,2,80,82
206,9305,2012-01-28,1,1,1,14,0,6,0,1,0.38,0.3939,0.5,0.3881,123,239,362
207,5836,2011-09-05,3,0,9,14,1,1,0,1,0.74,0.697,0.7,0.1642,145,212,357
208,11515,2012-04-29,2,1,4,23,0,0,0,1,0.48,0.4697,0.59,0.0,15,67,82
209,14196,2012-08-19,3,1,8,16,0,0,0,2,0.66,0.6212,0.65,0.0,97,259,356
210,12277,2012-05-31,2,1,5,17,0,4,1,1,0.76,0.6667,0.31,0.1642,85,742,827
211,9654,2012-02-12,1,1,2,4,0,0,0,2,0.1,0.0455,0.46,0.7164,0,1,1
212,105,2011-01-05,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71
213,10400,2012-03-14,1,1,3,10,0,3,1,1,0.56,0.5303,0.56,0.1045,38,150,188
214,2508,2011-04-19,2,0,4,9,0,2,1,3,0.52,0.5,0.63,0.0896,23,139,162
215,5060,2011-08-03,3,0,8,17,0,3,1,2,0.7,0.6667,0.79,0.0,47,378,425
216,6951,2011-10-22,4,0,10,5,0,6,0,1,0.38,0.3939,0.66,0.0,1,7,8
217,2119,2011-04-03,2,0,4,3,0,0,0,1,0.3,0.3333,0.61,0.0,3,8,11
218,17200,2012-12-24,1,1,12,11,0,1,1,2,0.26,0.2576,0.6,0.1642,20,104,124
219,1632,2011-03-13,1,0,3,12,0,0,0,1,0.46,0.4545,0.38,0.3881,74,120,194
220,12031,2012-05-21,2,1,5,11,0,1,1,2,0.6,0.5606,0.83,0.1642,24,82,106
221,12888,2012-06-26,3,1,6,4,0,2,1,1,0.54,0.5152,0.45,0.2985,1,9,10
222,3518,2011-05-31,2,0,5,11,0,2,1,1,0.86,0.803,0.47,0.0,28,78,106
223,3786,2011-06-11,2,0,6,15,0,6,0,1,0.82,0.7727,0.49,0.1045,142,232,374
224,3448,2011-05-28,2,0,5,13,0,6,0,1,0.72,0.6818,0.62,0.2239,168,217,385
225,12476,2012-06-09,2,1,6,0,0,6,0,1,0.64,0.6212,0.53,0.1045,54,152,206
226,11297,2012-04-20,2,1,4,21,0,5,1,1,0.56,0.5303,0.68,0.1343,35,252,287
227,16133,2012-11-09,4,1,11,22,0,5,1,1,0.34,0.3485,0.71,0.1045,17,146,163
228,16513,2012-11-25,4,1,11,18,0,0,0,1,0.26,0.2576,0.44,0.1642,9,132,141
229,10019,2012-02-27,1,1,2,11,0,1,1,1,0.36,0.3333,0.43,0.2537,11,92,103
230,8555,2011-12-28,1,0,12,5,0,3,1,1,0.32,0.2879,0.57,0.3582,0,9,9
231,12367,2012-06-04,2,1,6,11,0,1,1,1,0.64,0.6212,0.38,0.4925,71,168,239
232,14315,2012-08-24,3,1,8,15,0,5,1,2,0.76,0.6818,0.48,0.1343,99,251,350
233,12731,2012-06-19,2,1,6,15,0,2,1,1,0.78,0.7424,0.59,0.1642,72,187,259
234,7257,2011-11-03,4,0,11,23,0,4,1,1,0.4,0.4091,0.82,0.0896,15,80,95
235,3440,2011-05-28,2,0,5,5,0,6,0,1,0.56,0.5303,0.88,0.2239,4,3,7
236,5577,2011-08-25,3,0,8,6,0,4,1,1,0.66,0.6061,0.83,0.3284,1,101,102
237,2080,2011-04-01,2,0,4,12,0,5,1,1,0.34,0.303,0.53,0.3582,15,80,95
238,9810,2012-02-18,1,1,2,16,0,6,0,1,0.44,0.4394,0.44,0.3284,186,218,404
239,10567,2012-03-21,2,1,3,9,0,3,1,2,0.5,0.4848,0.88,0.1642,38,255,293
240,10857,2012-04-02,2,1,4,12,0,1,1,1,0.44,0.4394,0.44,0.4478,100,181,281
241,10865,2012-04-02,2,1,4,20,0,1,1,1,0.46,0.4545,0.31,0.1642,48,281,329
242,6184,2011-09-20,3,0,9,5,0,2,1,2,0.54,0.5152,0.88,0.194,1,21,22
243,5399,2011-08-17,3,0,8,20,0,3,1,1,0.74,0.6818,0.58,0.2537,37,243,280
244,9708,2012-02-14,1,1,2,10,0,2,1,2,0.26,0.2727,0.6,0.1343,8,90,98
245,1429,2011-03-04,1,0,3,19,0,5,1,1,0.32,0.303,0.61,0.2537,5,102,107
246,16467,2012-11-23,4,1,11,20,0,5,1,1,0.46,0.4545,0.41,0.0896,42,100,142
247,2909,2011-05-06,2,0,5,2,0,5,1,1,0.38,0.3939,0.62,0.1045,1,15,16
248,7424,2011-11-10,4,0,11,22,0,4,1,1,0.36,0.3333,0.53,0.2836,5,84,89
249,8729,2012-01-04,1,1,1,12,0,3,1,2,0.1,0.1061,0.46,0.194,9,75,84
250,4499,2011-07-11,3,0,7,8,0,1,1,1,0.74,0.697,0.66,0.2836,35,385,420
251,10608,2012-03-23,2,1,3,2,0,5,1,1,0.54,0.5152,0.88,0.0896,12,20,32
252,9991,2012-02-26,1,1,2,7,0,0,0,1,0.2,0.1818,0.51,0.2985,2,20,22
253,7980,2011-12-04,4,0,12,3,0,0,0,1,0.28,0.3182,0.75,0.0,7,34,41
254,11864,2012-05-14,2,1,5,12,0,1,1,2,0.56,0.5303,0.88,0.2836,53,132,185
255,4652,2011-07-17,3,0,7,17,0,0,0,1,0.8,0.7424,0.49,0.3881,133,236,369
256,13137,2012-07-06,3,1,7,13,0,5,1,1,0.9,0.7879,0.27,0.1045,99,194,293
257,14725,2012-09-10,3,1,9,17,0,1,1,1,0.66,0.6212,0.34,0.3284,127,744,871
258,26,2011-01-02,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17
259,5946,2011-09-10,3,0,9,6,0,6,0,1,0.58,0.5455,0.94,0.1642,0,6,6
260,8231,2011-12-14,4,0,12,14,0,3,1,2,0.38,0.3939,0.54,0.0896,17,134,151
261,4685,2011-07-19,3,0,7,2,0,2,1,1,0.72,0.6818,0.7,0.1642,9,4,13
262,1262,2011-02-25,1,0,2,17,0,5,1,1,0.32,0.2727,0.49,0.7463,8,181,189
263,10092,2012-03-01,1,1,3,13,0,4,1,1,0.58,0.5455,0.32,0.2537,24,187,211
264,7267,2011-11-04,4,0,11,9,0,5,1,2,0.42,0.4242,0.71,0.4627,15,239,254
265,1439,2011-03-05,1,0,3,5,0,6,0,2,0.3,0.303,1.0,0.1343,0,3,3
266,13141,2012-07-06,3,1,7,17,0,5,1,1,0.92,0.8182,0.29,0.0,90,486,576
267,16163,2012-11-11,4,1,11,4,0,0,0,1,0.32,0.3333,0.81,0.1045,5,6,11
